year,FSCSKEY,SQ_FEET
2017,IN0214,33660
2017,MT0029,9460
2017,OR0139,1950
2017,WV0090,3700
2017,PA0403,2200
2017,PA0070,1957
2017,KS0252,1486
2017,MI0348,41300
2017,NY0402,26500
2017,MO0127,14000
2017,IN0111,6210
2017,NE0032,5485
2017,TX0049,10712
2017,WI0094,2880
2017,KS0025,1721
2017,NJ0137,3403
2017,IN0140,14476
2017,NY0328,2280
2017,PA9040,11500
2017,SD0017,4853
2017,CA0072,28000
2017,TN8023,820
2017,TX0010,5593
2017,NE0279,1320
2017,VT0132,750
2017,NH0132,3300
2017,NY0575,45039
2017,IA0464,14298
2017,SD0050,3355
2017,MI0137,16500
2017,IA0151,4800
2017,TX0168,2501
2017,IL0142,1080
2017,NY0484,2308
2017,UT0059,63000
2017,TX0565,8053
2017,MI0186,2000
2017,NJ0005,0
2017,OR0028,19000
2017,NH0045,3740
2017,WY0002,60565
2017,DE0023,13490
2017,MN0013,89877
2017,FL0032,30957
2017,ID0092,1500
2017,NY0120,1508
2017,IL0327,12000
2017,MN0093,9052
2017,ME0053,1944
2017,TX0160,4800
2017,VT0016,500
2017,ME0233,1170
2017,MN0009,5500
2017,TX0127,24000
2017,WI0154,3200
2017,IN0120,8140
2017,NY0338,38952
2017,ND0029,866
2017,VA0074,16000
2017,WI0216,8300
2017,AL0191,13500
2017,PA0259,9000
2017,NY0566,10280
2017,MA0197,47500
2017,ME0100,1360
2017,MI0033,1513
2017,CT0176,12630
2017,TN0128,6917
2017,WI0096,3000
2017,NH0246,495
2017,TX0235,9092
2017,ME0016,20200
2017,KS0321,570
2017,IL0556,57290
2017,NE0206,874
2017,DE0022,51910
2017,NE0231,2505
2017,KS0006,885
2017,SD0038,3870
2017,NY0515,20000
2017,DC0001,852133
2017,PA0006,3744
2017,MO0091,36572
2017,NY0313,8000
2017,NM0040,7000
2017,ND0051,2000
2017,CA0033,8000
2017,NY0500,9018
2017,NY0795,1803
2017,MA0288,17650
2017,PA0263,19727
2017,IL0552,4000
2017,FL0021,27400
2017,TX0191,7400
2017,DE0026,6100
2017,IA0378,11250
2017,OR0128,29009
2017,TX0166,5000
2017,MT0064,5775
2017,NY0083,14300
2017,IA0397,4742
2017,MO0118,4740
2017,CO0141,10636
2017,NJ0248,23350
2017,TN8050,1440
2017,MA0280,3000
2017,NC0102,6000
2017,NJ0167,1847
2017,VT0031,1744
2017,MI0159,2937
2017,NC0004,31962
2017,AL0085,1678
2017,AZ0048,3437
2017,NY0181,2876
2017,IA0004,6700
2017,TX0117,5410
2017,IA0251,16000
2017,ID0008,10005
2017,TX0031,1820
2017,KY0071,11200
2017,IL0428,4000
2017,OH0100,60000
2017,MI0250,59314
2017,ME0022,2800
2017,KS0096,5078
2017,ME0232,1566
2017,IA0413,630
2017,KS0075,1400
2017,NM0045,2300
2017,MN0138,1246
2017,IA0236,-1
2017,MS0015,8000
2017,MT0055,6306
2017,OH0056,16790
2017,AK0099,1200
2017,ME0220,4000
2017,OH0053,135988
2017,MA0377,17080
2017,MO0143,4000
2017,AL8007,2300
2017,GA0066,80818
2017,NY0504,1350
2017,NH0253,1344
2017,OH0191,6914
2017,IL0108,2511
2017,NE9023,1102
2017,NY0509,17000
2017,WI0055,25500
2017,VA0049,16347
2017,WI0226,16287
2017,MN0044,280846
2017,KS0267,7700
2017,NJ0108,11960
2017,MN0091,1600
2017,IN0029,78000
2017,MN0112,2822
2017,MA0332,61000
2017,PA0014,1068
2017,SD0012,9590
2017,CO0034,844366
2017,KY0089,12000
2017,NY0452,24000
2017,MA0192,1200
2017,OH0236,11400
2017,ME0132,2800
2017,PA0234,12209
2017,WA0020,5386
2017,IL0089,5313
2017,TN0121,18485
2017,CA0107,6600
2017,KS0079,2052
2017,IA0523,8103
2017,MO0168,3150
2017,AK0127,2480
2017,UT0073,2526
2017,IA0196,1750
2017,IL0177,1317
2017,KS0203,6000
2017,NJ0263,5628
2017,IL0154,17256
2017,NY0503,2400
2017,MN0050,41620
2017,NJ0011,6000
2017,MI0290,7300
2017,MA0125,20000
2017,NJ0171,27188
2017,TX0571,5560
2017,MA0264,10000
2017,MI0119,5400
2017,NJ0224,35396
2017,IN0132,27457
2017,TX0471,18000
2017,NH0156,2153
2017,OH0208,50730
2017,IL0521,11000
2017,NY0454,6060
2017,TX0032,4800
2017,NY0318,14050
2017,TX0244,4080
2017,MA0111,2500
2017,CA0115,909886
2017,IL0561,2520
2017,NY0051,2600
2017,VA0079,29700
2017,SC0006,52262
2017,LA0015,31676
2017,TX0670,2000
2017,MI0333,16033
2017,PA0260,1807
2017,TX0236,3373
2017,NY0754,21900
2017,WI0222,13392
2017,IL0125,40000
2017,KS0238,435
2017,UT0017,10320
2017,MI0407,2177
2017,CA0063,1396361
2017,VA0040,128445
2017,OR0047,4100
2017,OR0052,22129
2017,PA0309,146107
2017,NY0022,3362
2017,OK0057,5150
2017,ID0068,1735
2017,WI0130,21000
2017,IA0133,8000
2017,MD0021,36200
2017,NY0682,30400
2017,IL0116,64200
2017,MI0345,37205
2017,WI0135,5972
2017,TX0342,12500
2017,IL0597,10200
2017,IA0376,5130
2017,NY0775,2400
2017,NH0135,5400
2017,CA0088,12593
2017,AL0025,5926
2017,NY0197,1410
2017,NJ0153,18168
2017,CO0070,4388
2017,LA0002,11419
2017,ME0254,520
2017,KS0009,1000
2017,SD0079,5600
2017,RI0013,36140
2017,MT0022,700
2017,IA0478,2488
2017,NY0339,13500
2017,NY0371,20000
2017,WI0390,55762
2017,NH0003,8948
2017,IA0333,8000
2017,SD0067,3000
2017,ID0033,12331
2017,WI0207,2994
2017,VT0086,7000
2017,IL0261,110000
2017,OH0248,236596
2017,IL0117,5684
2017,PA0355,28485
2017,VT0123,4012
2017,KS0216,8928
2017,NY0409,2900
2017,CA0012,72700
2017,IL0243,10363
2017,VT0030,1300
2017,IL0532,6300
2017,AL0229,2820
2017,PA0495,10000
2017,TX0112,7800
2017,TX0024,135815
2017,TN0073,2600
2017,NY0216,1500
2017,TX0052,10170
2017,IA0300,1232
2017,MA0070,5335
2017,MA0007,11000
2017,MA0076,3000
2017,AR0012,52156
2017,IL0188,15706
2017,NC0023,58075
2017,MA0258,18000
2017,NY0431,1645
2017,MO0141,9100
2017,MT0031,10648
2017,MT0034,12000
2017,PA0149,4342
2017,IA0194,6400
2017,OK0037,4290
2017,OH0008,12729
2017,OR0065,17430
2017,NJ0019,15000
2017,MA0260,30
2017,NY0737,11859
2017,TN8033,2750
2017,TX0072,3240
2017,ME0183,6182
2017,NM0047,6740
2017,NY0228,875
2017,WY0011,37700
2017,OH0040,8013
2017,WI0298,7200
2017,TX0046,7590
2017,OK0064,9356
2017,NY0430,875
2017,MI0053,2331
2017,IL0412,6339
2017,VA0055,10000
2017,ME0235,7000
2017,IA0227,2478
2017,WI0261,5000
2017,IL0254,3750
2017,IA0108,2160
2017,TX0092,5062
2017,WV0055,2800
2017,CO0107,7456
2017,NY0039,6612
2017,IA0343,1216
2017,KY0025,5236
2017,WI0404,4030
2017,TX0090,10296
2017,AZ0042,91588
2017,MI0051,1728
2017,NY0570,9900
2017,TN0037,1500
2017,NJ0305,31500
2017,LA0069,1700
2017,IL0146,35000
2017,KS0176,2112
2017,MI0193,2800
2017,NM0015,2800
2017,IN0083,44637
2017,KS0146,6500
2017,NJ0035,5294
2017,ME0170,10800
2017,TN0049,9353
2017,KS0107,3600
2017,MN0086,2236
2017,MI0180,137800
2017,NY0017,12144
2017,NY0252,10300
2017,CA0161,2831
2017,PA0119,3086
2017,TX0065,5500
2017,MN0070,26500
2017,OH0188,21945
2017,IL0019,5000
2017,IA0110,1124
2017,VT0157,858
2017,NJ0294,25000
2017,LA0042,7600
2017,NE0100,4321
2017,WY0016,20487
2017,PA0270,11600
2017,MT0017,3500
2017,CT0192,12000
2017,ID0049,2699
2017,NH0215,7490
2017,VT0222,2210
2017,NH0180,6000
2017,IL0119,3000
2017,MI0409,11800
2017,KS0048,11000
2017,IL0020,8000
2017,NJ0282,5956
2017,TN0084,8255
2017,IL0609,10387
2017,ID0007,981
2017,NY0406,2673
2017,CA0061,238117
2017,SC0002,97842
2017,PA0225,20700
2017,LA0041,57918
2017,IL0328,6074
2017,NC0033,16496
2017,WV0033,3710
2017,WI0221,4770
2017,NY0424,2350
2017,NE0071,1230
2017,PA0207,2400
2017,MI0216,2700
2017,WI0231,9600
2017,IA0506,620
2017,NJ0315,3711
2017,MI0352,2109
2017,NC0018,33856
2017,PA0201,1746
2017,MI0218,19000
2017,IA0032,672
2017,TX0430,2304
2017,CT0141,4600
2017,NY0243,2100
2017,NH0164,7800
2017,CA0082,45554
2017,WI0198,16000
2017,GA0009,16500
2017,KS0014,1800
2017,MO0075,23000
2017,LA0023,10400
2017,PA0474,3900
2017,IL0360,102270
2017,ND0056,714
2017,NY0793,2330
2017,NY0694,14250
2017,OK0122,2128
2017,MA0363,2330
2017,AZ0112,10500
2017,TX0008,18800
2017,VT0143,2000
2017,AK0134,1500
2017,OK0016,560
2017,MA0110,7000
2017,NJ0144,1356
2017,MI0325,42556
2017,IA0113,1573
2017,NH0052,2800
2017,IA0123,1800
2017,MN9028,16453
2017,VA0008,48388
2017,TX0195,10500
2017,IL0362,3139
2017,WV0028,2451
2017,IA0467,1120
2017,IL0337,15000
2017,IA0147,54000
2017,IA0451,2000
2017,CT0042,9420
2017,AL0039,5000
2017,IA0184,23000
2017,TX0622,5142
2017,WI0008,2536
2017,AL0189,5500
2017,LA0035,17205
2017,TX0227,12000
2017,IN0055,16800
2017,OH0170,9126
2017,ID0027,10144
2017,IA0240,14600
2017,OH0113,10926
2017,ME0230,10620
2017,IL0468,7488
2017,NH0056,2600
2017,PA0273,3585
2017,AL0034,11418
2017,WI0332,10000
2017,IA0486,4800
2017,NY0238,1800
2017,PA0184,9256
2017,NY0621,3120
2017,IA0353,8712
2017,NE0276,23000
2017,PA0222,70925
2017,AL0246,1000
2017,TX0676,2464
2017,MO0025,2478
2017,KS0005,1668
2017,CA0064,43300
2017,NJ0118,23383
2017,ME0247,1200
2017,NE0085,1035
2017,TX0254,9340
2017,NY0645,25500
2017,AZ0173,-1
2017,VT0181,1224
2017,NY0396,2480
2017,CO0017,31500
2017,NY0164,72000
2017,WI0386,4350
2017,WI0328,2000
2017,IL0530,2463
2017,TX0417,10000
2017,PA0231,6347
2017,WI0205,3312
2017,PA0306,3994
2017,WV0031,1000
2017,TX0207,6087
2017,AL0210,2580
2017,OR0016,1020
2017,OR0113,3000
2017,TN0056,10327
2017,NJ0174,34000
2017,WI0422,2100
2017,OH0172,23650
2017,ND0075,1225
2017,KS0302,4000
2017,IA0246,2672
2017,OK0092,5000
2017,OH0218,75118
2017,KS0143,4000
2017,KS0077,2400
2017,CA0092,114500
2017,NJ0285,14000
2017,CT0082,-1
2017,WI0323,7600
2017,CO0095,6700
2017,IA0332,3460
2017,IA0570,2400
2017,RI8001,2500
2017,MN0011,4000
2017,GA0038,23759
2017,TX0583,3498
2017,MA0164,44000
2017,WI0314,36000
2017,IA0115,3840
2017,IA0149,-1
2017,AK0122,576
2017,TX0148,3792
2017,VT0076,6060
2017,MA0301,9970
2017,AL0098,85000
2017,NV0004,9265
2017,IA0036,16315
2017,MN0100,430
2017,PA0122,4267
2017,WA0060,95834
2017,NY0105,3944
2017,NE0252,3036
2017,ME0186,14280
2017,MO0081,4456
2017,IL0390,24000
2017,CT0134,43000
2017,MA0201,3200
2017,VT0057,3400
2017,OH0032,26917
2017,OH0028,8315
2017,AR0023,12450
2017,ND0042,1207
2017,ME0316,1540
2017,MA0109,840
2017,IA0516,1680
2017,SD0126,15000
2017,TX0193,18322
2017,NY0540,7500
2017,TX0469,3200
2017,IA0448,13000
2017,UT0048,337238
2017,MN0066,2354
2017,NE0082,800
2017,PA0150,8051
2017,NE0239,7110
2017,KY0072,33342
2017,WI0381,4280
2017,NJ0225,0
2017,ID0108,4000
2017,ME0218,5000
2017,KS0059,980
2017,LA0049,89547
2017,CT0115,2800
2017,MI0040,19264
2017,MT0074,1734
2017,ID0024,6515
2017,TN0062,54000
2017,PA0226,14700
2017,IN0138,62499
2017,NJ0196,9880
2017,MI0238,3444
2017,TX0538,55000
2017,TX0118,5146
2017,AK0039,16726
2017,MA0360,6634
2017,AL0223,5800
2017,NE0111,4098
2017,WI0160,18000
2017,LA0050,64616
2017,IL0205,3540
2017,OH0195,56464
2017,WI0402,840
2017,IN0228,33972
2017,KS0198,4000
2017,MA0236,56000
2017,KY0003,13444
2017,MI0340,20000
2017,PA0327,5050
2017,NY0230,67000
2017,VA0019,7998
2017,TX0688,4350
2017,IL0013,5825
2017,TX0259,43000
2017,TX0151,7500
2017,VA0083,45225
2017,AZ0135,10500
2017,TX0713,3600
2017,VT0013,11500
2017,NY0165,2600
2017,NH0256,4800
2017,KS0170,1400
2017,OH0001,6120
2017,MA0154,62000
2017,MO0085,4460
2017,ME0076,6100
2017,KS0065,750
2017,CA0041,62553
2017,OR0073,783
2017,MA0309,2430
2017,MN0022,1000
2017,WI0242,1024
2017,IA0143,2722
2017,PA0196,6000
2017,ME0037,1440
2017,VT0085,900
2017,ME0049,2022
2017,CA0038,44997
2017,OK0066,124986
2017,MA0365,2000
2017,KS0142,1564
2017,WV0026,25356
2017,KY0115,26200
2017,IN0074,17180
2017,NY0467,16947
2017,IL0590,26800
2017,NY0786,3130
2017,ID0009,5650
2017,MO0083,1556
2017,KS0275,17000
2017,TN8045,2810
2017,TX0290,8550
2017,IA0085,10000
2017,AL0077,26000
2017,MA0036,16000
2017,MI0304,5494
2017,IL0567,1820
2017,KS0221,27439
2017,OH0038,11580
2017,MN0037,22600
2017,ID0043,2876
2017,OK0003,15951
2017,TN0024,2250
2017,KS0227,1599
2017,OH0088,19585
2017,IA0311,3285
2017,VT0137,15477
2017,CA0090,38400
2017,AZ0100,19328
2017,MA0307,22395
2017,NY0686,6285
2017,AL0079,5000
2017,NH0048,10440
2017,WI0173,2500
2017,CA0051,287227
2017,PA0138,3863
2017,NM0051,3500
2017,NJ0207,1525
2017,MA0166,15781
2017,CO0049,90789
2017,KS0090,22000
2017,MI0101,17000
2017,VA0012,39320
2017,DE0029,46000
2017,WY0004,110500
2017,CT0119,23500
2017,AL0056,5619
2017,AL0148,14000
2017,AL0193,11090
2017,IN0090,44640
2017,IN0157,13189
2017,NJ0199,1764
2017,PA0454,11989
2017,CA0116,1500
2017,MN0005,2195
2017,IA0172,750
2017,RI0021,11000
2017,PA0480,1570
2017,NH0068,5168
2017,WI0080,12412
2017,VT0208,784
2017,NY0211,7500
2017,AL0240,1836
2017,MO0039,29100
2017,NJ0115,8795
2017,RI0045,6760
2017,AK0075,1019
2017,IA0163,1035
2017,TX0370,30050
2017,TN0112,19360
2017,NY0664,1740
2017,ME0258,2000
2017,MI0027,25000
2017,WI0050,8258
2017,KS0318,1188
2017,NH0116,1024
2017,NC0088,7550
2017,TX0679,2000
2017,IA0484,2400
2017,AK0116,400
2017,VT0140,6400
2017,NY0279,6500
2017,AZ0001,34652
2017,TX0317,92403
2017,OH0054,12000
2017,NH0049,55000
2017,MA0275,22985
2017,IL0501,9000
2017,NY0690,26500
2017,TX0178,8900
2017,MI0311,3600
2017,PA0137,450
2017,VT0138,22146
2017,IL0196,70000
2017,ND0045,1827
2017,IN0230,9350
2017,IA0247,800
2017,OK0063,2279
2017,CO0052,7822
2017,MT0019,12814
2017,ME0213,3836
2017,WA0058,182112
2017,IL0440,26000
2017,VA0091,23200
2017,CT0143,9706
2017,OK8006,1770
2017,MI0213,19333
2017,KS0072,7200
2017,ME0298,1400
2017,CA0124,79765
2017,AL0068,4000
2017,AR0069,4000
2017,OH0140,5484
2017,LA0036,48728
2017,NY0028,8149
2017,WI0042,50000
2017,KS0173,1608
2017,TN0059,11479
2017,IA0102,2540
2017,CT0121,9900
2017,IN0101,1441
2017,CA0099,20024
2017,MA0047,900
2017,IL0516,25500
2017,NY0684,42823
2017,IL0538,50000
2017,MN0089,27196
2017,NH0190,500
2017,CT0052,22000
2017,NY0153,2255
2017,NC0032,199450
2017,OH0220,24383
2017,AL0051,4600
2017,CA0062,1074923
2017,KS0058,1200
2017,SC0037,59800
2017,TX0050,388753
2017,CO0116,3552
2017,NY0282,3200
2017,NY0582,9825
2017,TX0428,3750
2017,IN0182,1960
2017,MN0054,1066
2017,MO0033,13000
2017,IL0263,7900
2017,TX0081,7490
2017,MI0430,10760
2017,CT0127,1809
2017,PA0077,10000
2017,WI0120,7500
2017,ME0015,17766
2017,NH0243,1063
2017,IL0452,10000
2017,KS0013,758
2017,VT0131,1085
2017,IL0613,2400
2017,PA0448,130418
2017,ME0270,3778
2017,AZ0066,2800
2017,AL0078,5500
2017,IA0010,7831
2017,IL0137,5040
2017,IL0495,133190
2017,SD0041,2000
2017,AL0064,13000
2017,NY0548,12860
2017,TN8013,3050
2017,NJ0042,18000
2017,NY0586,33790
2017,GA0015,29500
2017,NE0172,700
2017,WV0039,1968
2017,IA0182,16330
2017,OK0014,8500
2017,KS0132,178600
2017,NC0021,55060
2017,AL0092,40500
2017,TX0130,5674
2017,IN0004,5734
2017,CA0126,299250
2017,FL0247,62864
2017,NY0062,5600
2017,IL0485,2880
2017,IA0554,3600
2017,TX0206,20000
2017,PA0132,1080
2017,MA0135,9217
2017,SD0082,3125
2017,MI0318,17000
2017,IN0179,12800
2017,TX0139,8040
2017,MI0312,4200
2017,MN0090,85470
2017,ME0051,1100
2017,NE0053,3744
2017,VA0038,3200
2017,MO0128,32830
2017,NJ0205,0
2017,OR0008,21765
2017,MT0063,2678
2017,WI0191,52951
2017,NJ0001,116997
2017,AL0176,8000
2017,MN0035,110327
2017,OH0189,51773
2017,CT0091,9066
2017,IA0100,8340
2017,NJ0245,12000
2017,PA0508,586
2017,UT0026,29000
2017,TN8043,2080
2017,IA0025,2736
2017,NY0189,3350
2017,ME0042,11000
2017,AZ0130,2520
2017,MI0072,9200
2017,NH0192,4752
2017,NE0152,3080
2017,OR0134,3825
2017,NY0700,5265
2017,WI0182,7500
2017,VA8002,30771
2017,PA0174,13530
2017,AZ0106,2100
2017,MI0362,76000
2017,IL0599,2410
2017,SD0121,10400
2017,TN0058,11097
2017,MA0033,1250
2017,MO0011,10840
2017,TX0703,5000
2017,WI0407,2870
2017,WA0074,9000
2017,AL0251,2400
2017,IN0018,21800
2017,LA0026,14750
2017,NE0009,2568
2017,IL0507,3900
2017,IA0316,3648
2017,ND0103,3034
2017,VT0193,2000
2017,NY0096,6570
2017,OH0101,29657
2017,NE0064,3960
2017,VT0161,3085
2017,MI0347,5500
2017,WI0232,4896
2017,VT0112,2900
2017,KS0097,4350
2017,KS0114,8000
2017,NJ0257,2346
2017,WI0382,1274
2017,PA0262,26662
2017,TX0447,118798
2017,MO0138,7800
2017,TX0020,3850
2017,NH0077,1971
